feature,importance_score
multicult_dissent,0.2450474372409359
eu_salience,0.24082296418649254
eu_asylum,0.23996560848441872
deregulation,0.2349672681489167
eu_blur,0.2293883052590595
members_vs_leadership,0.22802996612715287
russian_interference,0.2251759771610443
people_vs_elite,0.22002947410441415
lrgen,0.21727436195805774
eu_dissent,0.21566412347589028
lrecon_blur,0.2137871519928524
regions,0.21359534738560051
enviro_salience,0.2122460502953228
protectionism,0.20984172362200362
govt,0.17389995981634374
